Case #,Date,Time,Involved,Name/Description,Gender,Height,Weight (lbs),Hair Colour,Emergency Services Required,Call initiated to: Police (911),Call initiated to: Ambulance  (911),Call initiated to: Fire (911),Attended By: Police,Attended By: Ambulance,Attended By:Fire,Vehicle ID,Incident Teyp(S):  Medical,Incident Teyp(S):  Injury,Incident Teyp(S):  Drug/Alcohol,Incident Teyp(S): Violence,Incident Teyp(S): Staff Abuse,Incident Teyp(S):  Refuse to leave,Incident Teyp(S): Property Damage,Incident Teyp(S): Other (Type),First Aid required,Overdose,Naloxone,Event Location: Drop In,Event Location: Lobby,Event Location: Courtyard,Event Location: Kitchen,Event Location: Dinning Area,Event Location: Chapel,Event Location: Hygiene,Event Location: Games room,Event Location: Shipping&Reveiving Area ,Event Location: Common Housing Area,Event Location: In Room,Event Location: Perimeter,Event Location:Snack Bar,Other: (Enter)
7,jan-15-2018,09:45:00,A1,R75,0,,,,0,,,,,,,,0,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
8,jan-15-2018,13:12:00,A1,R103,0,,,,0,1,,,,,,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
9,jan-15-2018,16:40:00,A1,R75,0,,,,0,,,,1,,,,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POD
10,jan-15-2018,17:40:00,A2,R18,0,5'8,120,black/grey,0,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
11,jan-15-2018,18:35:00,A1,R80,0,,,,,1,,,1,,,V15566,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
12,jan-15-2018,19:30:00,A1,R32,0,,,,,,,,,,,,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POD
13,jan-16-2018,15:25:00,A2,R27,0,5'10,155,brown,1,1,,,,,,,0,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
14,jan-16-2018,17:25:00,,R50,0,5'7,130,white,1,,1,,,1,,62887,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
15,jan-16-2018,20:20:00,A1,R60,0,6'1,170,blonde,1,1,,,1,,,VI5592,0,0,0,0,0,0,0,suicidal ideation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
16,jan-16-2018,12:20:00,A1,R64,0,6'3,240,longer dark brown hair,0,,,,,,,,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
124,Jan-21-2018,18:35:00,A1,R114,1,5'10,170,Brown,0,1,0,0,,,,V15596,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
125,Jan-21-2018,19:32:00,A1,R113,1,,,,,,,,,,,,0,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pod
126,Jan-22-2018,07:25:00,A1,R23,0,,,,,,,,,,,,1,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pod
127,Jan-22-2018,09:45:00,A1,R75,1,,,,,1,0,0,,,,V15591,0,0,0,0,0,1,0,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,
128,Jan-22-2018,09:45:00,A2,R27,1,,,,,1,0,0,,,,V15591,0,0,0,0,0,1,0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,
129,Jan-22-2018,18:06:00,A1,R8,0,4'11,100,BLK,,1,0,0,,,,5569,0,0,0,0,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,
130,Jan-22-2017,17:15:00,A1,R8,0,4'18,100,Black,,1,0,0,,,,5593,0,0,0,0,0,1,0,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,
131,Jan-22-2018,23:45:00,A1,R115,,,,,1,1,0,0,,,,,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,
132,Jan-22-2018,07:55:00,A1,R24,0,5'2,130,black,,1,0,0,,,,Richmard ,1,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
133,Jan-23-2018,08:13:00,A1,R7,0,,,,,1,0,0,,,,unmarked,0,0,0,0,0,0,0,safety check,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
134,Jan-23-2018,11:30:00,A1,R8,0,5'1,120,black,,1,0,0,,,,,0,0,0,0,0,1,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,
135,Jan-23-2018,17:20:00,A3,R116,,,,,1,0,0,1,0,0,1,E1-43,0,0,0,0,0,0,0,Fire Alarm,0,0,,,,,,,,,,,,,,,
136,Jan-23-2018,17:20:00,A2,R87,1,6'0,150,grey,1,0,1,0,0,1,1,63200,1,0,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,4th floor hallway
